MTCD_number,group,D2D_first_request_RAO,D2D_initate_request_RAO,nRequest_D2D,RA_first_RAO,RA_initate_RAO,RA_success_RAO,nTransmit_RA,Preamble_number,MTCD_RA_status 
8485,4,473,473,1,481,481,481,1,11,D2D_RA
8486,10,188,192,2,200,200,200,1,29,D2D_RA
8487,8,656,667,2,665,675,675,2,22,D2D_RA
8488,10,522,522,1,530,530,530,1,29,D2D_RA
8489,4,661,683,4,672,689,689,3,12,D2D_RA
8490,1,612,627,3,625,635,635,2,2,D2D_RA
8491,12,532,536,2,544,544,544,1,35,D2D_RA
8492,8,430,434,2,442,442,442,1,24,D2D_RA
8493,2,683,683,1,690,690,690,1,6,D2D_RA
8494,5,669,673,2,680,680,680,1,14,D2D_RA
8495,5,393,403,2,401,412,412,2,15,D2D_RA
8496,13,503,507,2,516,516,516,1,38,D2D_RA
8497,5,153,153,1,160,160,160,1,15,D2D_RA
8498,10,266,280,3,274,289,289,2,29,D2D_RA
8499,11,459,459,1,468,468,468,1,31,D2D_RA
8500,13,299,299,1,306,306,306,1,38,D2D_RA
8501,7,588,592,2,601,601,601,1,19,D2D_RA
8502,6,916,920,2,928,928,928,1,16,D2D_RA
8503,9,277,281,2,290,290,290,1,25,D2D_RA
8504,2,111,115,2,121,121,121,1,6,D2D_RA
8505,4,377,392,3,386,401,401,2,10,D2D_RA
8506,4,348,376,5,360,384,384,3,11,D2D_RA
8507,15,402,427,4,411,436,436,3,43,D2D_RA
8508,7,841,841,1,848,848,848,1,20,D2D_RA
8509,14,129,138,2,136,144,144,2,42,D2D_RA
8510,2,133,137,2,144,144,144,1,5,D2D_RA
8511,1,400,411,2,409,420,420,2,2,D2D_RA
8512,13,595,595,1,603,603,603,1,39,D2D_RA
8513,12,494,498,2,507,507,507,1,34,D2D_RA
8514,3,285,289,2,297,297,297,1,7,D2D_RA
8515,7,150,154,2,160,160,160,1,21,D2D_RA
8516,9,516,520,2,528,528,528,1,26,D2D_RA
8517,6,411,435,4,420,443,443,3,18,D2D_RA
